size,direction,distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mouse_target.x,mouse_target.y,mouse_target.leftButton,mouse_target.midButton,mouse_target.rightButton,mouse_target.time,mouse_target.clicked_name,session,participant,date,expName,frameRate,
400,60,200,1,21,121,35,-0.22875,0.3466666666666667,1,0,0,0.43203129991889,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,75,400,1,22,122,78,-0.21375,-0.1711111111111111,1,0,0,0.6484767999500036,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,15,200,1,23,123,20,-0.13875,0.5288888888888889,1,0,0,1.097657399950549,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,75,500,1,24,124,99,-0.21,-0.4266666666666667,1,0,0,0.6314267000416294,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,60,100,1,25,125,14,-0.315,0.44222222222222224,1,0,0,0.4986303000478074,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,45,300,1,26,126,48,-0.10125,0.18222222222222223,1,0,0,0.6817993000149727,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,75,400,1,27,127,77,-0.24,-0.18444444444444444,1,0,0,0.7156760999932885,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,45,100,1,28,128,9,-0.3075,0.47333333333333333,1,0,0,0.5486968000186607,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,45,400,1,29,129,71,-0.0675,0.051111111111111114,1,0,0,0.5493544000200927,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,75,200,1,30,130,36,-0.33875,0.28,1,0,0,0.6326599998865277,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,60,300,1,31,131,55,-0.22,0.14888888888888888,1,0,0,0.41472409991547465,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,45,400,1,32,132,68,-0.01375,0.03111111111111111,1,0,0,0.8990429999539629,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,30,200,1,33,133,25,-0.1725,0.44222222222222224,1,0,0,0.6318997000344098,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,75,500,1,34,134,98,-0.2525,-0.32,1,0,0,0.6822466000448912,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,45,200,1,35,135,30,-0.2075,0.32,1,0,0,0.6650775999296457,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
